Fbref,Player,Age,Seasons_count,MP,Starts,Min,90s,npxG,xAG,finishing
2bc7f211,Abdel Abqar,24,1,27,27,2312,25.7,0.02,0.01,0.99
2bd83368,Anthony Gordon,22,3,102,75,6757,75.1,0.26,0.2,1.0
2be28a0c,Thomas Isherwood,25,1,12,8,636,7.1,0.0,0.01,1.0
2be3b643,Myron Mau-Asam,19,1,1,0,9,0.1,0.0,0.0,1.0
2bea06e0,Bruno Varela,28,3,79,79,7065,78.5,0.0,0.01,1.0
2bea832e,Juanmi Latasa,22,3,51,17,2012,22.4,0.15,0.07,0.97
2bed3eab,Eric García,22,3,82,68,6150,68.3,0.06,0.01,1.02
2bef2bca,Ronald Araújo,24,3,77,67,6069,67.4,0.07,0.04,0.99
2beff53f,Charlie Webster,19,1,13,2,236,2.6,0.17,0.04,1.0
2bfa31fc,Jesper Uneken,18,1,1,0,3,0.0,,,1.01
2bffcbf2,Lorenzo Malagrida,18,1,6,0,109,1.2,0.09,0.07,1.0
2c0385ea,Davis Nascimento,20,1,1,0,1,0.0,,,1.0
2c0558b8,Jamal Musiala,20,3,87,58,5418,60.2,0.26,0.22,1.09
2c08cab0,Gustavo Puerta,20,1,7,0,46,0.5,0.14,0.12,1.0
2c0f8e9e,Alexis Sánchez,34,3,85,45,4323,48.1,0.25,0.18,1.01
2c127b6f,Wuilker Faríñez,23,1,13,11,1105,12.3,0.0,0.0,1.0
2c183a79,Jamie Allen,28,3,97,77,6598,73.3,0.07,0.05,0.97
2c38b327,Marko Pjaca,27,2,41,18,1674,18.6,0.1,0.07,1.01
2c3a6c21,Marco Mancosu,34,1,6,3,156,1.7,0.22,0.1,0.99
2c44a35d,Emmanuel Dennis,25,3,71,49,4332,48.1,0.2,0.08,1.05
2c55fadb,Azzeddine Toufiqui,23,1,5,0,60,0.7,0.06,0.03,1.0
2c56a792,Nicolás González,21,3,78,50,4218,46.9,0.14,0.07,0.98
2c574121,Sessi D'Almeida,25,1,8,2,218,2.4,0.07,0.01,1.0
2c6835e5,Lewis Miley,17,2,18,14,1217,13.6,0.09,0.13,0.99
2c6e78b0,Gaultiér Overman,20,1,2,0,41,0.5,0.0,0.0,1.0
2c70d915,Christian Mawissa,18,2,19,13,1216,13.5,0.06,0.01,1.02
2c86ea07,Radinio Balker,24,2,38,36,3058,33.9,0.02,0.02,1.0
2c88356f,Tyreik Wright,21,1,5,1,89,1.0,0.12,0.02,1.0
2c8a91b9,Fallou Fall,18,1,1,0,32,0.4,0.0,0.0,1.0
2c8da8a1,Cole Bassett,21,2,18,2,295,3.3000000000000003,0.12,0.06,0.99
2c8dc102,Jasper Ter Heide,23,2,20,5,567,6.3,0.04,0.03,1.01
2c9c3502,Steven Fletcher,34,1,35,16,1502,16.7,0.18,0.04,0.95
2c9e6bc3,Sergio Rodelas,18,1,3,2,122,1.4,0.02,0.63,1.0
2ca7a245,Beni,21,2,39,24,2407,26.700000000000003,0.0,0.04,0.99
2cb9486d,Dávid Strelec,21,2,17,8,671,7.5,0.12,0.08,1.0
2cc959a8,Dave Kwakman,18,1,3,1,76,0.8,0.05,0.0,1.0
2ccd39ed,Akor Adams,23,1,32,27,2252,25.0,0.38,0.05,0.93
2ccd89a3,Eduard Sobol,28,2,18,9,895,10.0,0.01,0.06,1.0
2cd3d3ce,Felipe Pires,26,1,19,13,1160,12.9,0.06,0.1,1.01
2cd947bb,Masaki Watai,24,2,28,8,948,10.6,0.02,0.08,1.01
2ce215f2,Alberto Basso,18,1,1,0,16,0.2,0.15,0.0,1.0
2ce2508a,Luka Milivojević,31,2,33,14,1286,14.3,0.05,0.05,0.99
2ce5a500,Pablo Moreno,20,1,19,12,891,9.9,0.05,0.12,0.99
2cf03378,Jack Grieves,18,2,4,1,63,0.7,0.01,0.0,1.0
2cf496fb,Kamil Piątkowski,23,1,9,6,505,5.6,0.1,0.01,0.99
2cfae697,Jerdy Schouten,26,3,79,73,6323,70.3,0.04,0.03,1.02
2cfb6e88,Hugo González,20,1,9,0,87,1.0,0.02,0.4,1.0
2d22cea7,Armand Lauriente,24,3,103,93,7826,87.0,0.15,0.13,0.98
2d368fd5,Vurnon Anita,33,2,66,62,5499,61.1,0.01,0.03,1.02
2d3d7c0d,Filippo Missori,19,2,11,4,447,5.0,0.05,0.01,0.99
2d44ca9b,Matt Smith,32,1,21,6,708,7.9,0.16,0.03,0.98
2d590087,Femi Azeez,21,2,33,10,1216,13.5,0.08,0.04,0.99
2d5f03bf,Christoph Zimmermann,30,2,22,14,1377,15.299999999999999,0.02,0.0,0.99
2d5f2ff0,Justin Kumi,19,1,1,0,4,0.0,,,1.0
2d61d13a,Ozan Kabak,23,3,69,67,5592,62.099999999999994,0.05,0.03,1.04
2d6b4904,Bennit Bröger,17,1,1,0,11,0.1,0.0,0.0,1.0
2d70dbe5,Paul Nardi,27,1,22,22,1980,22.0,0.0,0.0,1.0
2d760d7b,Bali Mumba,21,2,54,43,3690,41.0,0.05,0.05,0.99
2d82641c,Oliver Casey,20,1,6,3,350,3.9,0.03,0.0,1.01
2d970560,Robin Gosens,29,3,75,43,4096,45.599999999999994,0.1,0.1,1.05
2d9d9e42,Kacper Urbanski,18,2,23,9,971,10.8,0.07,0.06,0.98
2d9f280e,Heriberto Tavares,26,3,52,25,2226,24.700000000000003,0.14,0.11,0.99
2da834f1,Carlton Morris,27,3,110,99,8508,94.5,0.2,0.08,1.03
2db2fd7b,Jérôme Boateng,34,3,39,29,2288,25.4,0.01,0.05,0.99
2dc9d6fb,Andries Noppert,29,3,55,55,4949,55.0,0.0,0.0,1.0
2dce876a,Carmona,21,3,50,28,2453,27.3,0.06,0.04,1.04
2dd7e29d,Oscar Ureña,19,1,3,1,100,1.1,0.12,0.0,1.0
2df7cc43,Bruno Amione,21,2,37,33,2723,30.200000000000003,0.03,0.02,1.0
2dfd8f7b,Antoine Colassin,21,1,22,8,747,8.3,0.08,0.06,1.03
2e0ed651,Vinicius Mingotti,23,1,16,6,488,5.4,0.24,0.13,0.99
2e1b7c83,Emmanuel Sabbi,25,1,30,18,1584,17.6,0.11,0.06,1.01
2e23c66b,Emmanuel Boateng,27,2,55,40,3721,41.4,0.38,0.08,0.98
2e25fa84,Luquinha,21,2,37,14,1722,19.1,0.11,0.14,0.99
2e2da3e8,Luís Mota,17,1,8,0,112,1.2,0.16,0.02,1.0
2e31f3a6,Héctor Fort,16,1,7,4,318,3.5,0.0,0.17,1.0
2e3995cd,Brian Ocampo,24,2,31,16,1367,15.2,0.04,0.08,1.02
2e4bc188,Bart Vriends,32,3,89,86,7472,83.1,0.03,0.01,1.05
2e4f5f03,Andrew Robertson,29,3,86,76,6813,75.7,0.07,0.24,1.02
2e5915f1,Morgan Rogers,21,3,72,36,3430,38.1,0.13,0.14,0.98
2e594b84,Pedro Tiba,34,2,51,33,2748,30.5,0.06,0.1,1.02
2e5a31cb,Souffian El Karouani,22,3,93,90,7892,87.7,0.02,0.06,0.98
2e77d607,Andreas Hanche-Olsen,26,2,32,29,2489,27.6,0.03,0.03,1.02
2e7dafe5,Jordan Majchrzak,17,1,1,0,14,0.2,0.0,0.0,1.0
2e7ff968,Marwin Hitz,33,1,5,4,405,4.5,0.0,0.0,1.0
2e9ddbfb,Llazaros Rota,23,1,2,2,180,2.0,0.0,0.02,1.0
2ea1013f,Rocco Robert Shein,19,2,6,1,172,1.9,0.01,0.0,1.0
2ead2809,Gianluca Lapadula,33,1,23,14,1205,13.4,0.22,0.06,0.96
2eb1ec07,Amadou Koné,18,1,16,4,475,5.3,0.04,0.02,0.99
2ec1f4e3,Zé Manuel,32,2,25,3,616,6.8999999999999995,0.24,0.09,1.01
2ed26b00,Miguel Carvalho,27,1,2,2,180,2.0,0.0,0.0,1.0
2edcd048,Davide Bettella,23,1,1,0,3,0.0,,,1.0
2ee5b0c9,Zeki Amdouni,22,1,34,27,1953,21.7,0.23,0.07,0.98
2eeae3a7,Isac Lidberg,24,3,85,69,5678,63.2,0.16,0.05,0.94
2ef08833,Marc Casado,19,1,2,0,15,0.2,0.0,0.0,1.0
2ef7c612,Charles De Ketelaere,22,2,67,34,3142,34.9,0.19,0.18,1.01
2f002854,Raphael Guzzo,28,3,71,52,4362,48.5,0.13,0.09,0.98
2f067cf2,Tijjani Noslin,24,3,85,56,4783,53.2,0.14,0.07,1.03
2f0cfc9b,Xavier Simons,20,2,14,5,450,5.0,0.02,0.01,1.0
2f18d0b8,Timon Wellenreuther,27,3,59,57,5198,57.8,0.0,0.01,1.0
2f31c765,Mike Hauptmeijer,26,1,2,2,180,2.0,0.0,0.0,1.0
2f33776f,Cisse Sandra,19,1,26,19,1670,18.6,0.06,0.02,0.98
2f3452eb,Elseid Hysaj,29,3,85,57,5224,58.0,0.01,0.03,1.01
2f3e911a,Aarón Martín,26,3,78,62,5515,61.3,0.03,0.11,1.06
2f421218,George Hall,19,3,40,14,1523,16.9,0.07,0.04,1.0
2f45300d,Karim Zedadka,22,1,3,0,20,0.2,0.0,0.0,1.0
2f456b86,Rubén Quintanilla,20,1,1,0,4,0.0,,,1.0
2f4b8d82,Kwame Poku,19,1,20,11,1111,12.3,0.08,0.12,0.96
2f4fb18c,Isaac Olaofe,22,1,2,0,12,0.1,0.31,0.0,1.0
2f52874b,Mohamed Bouchouari,21,1,26,18,1738,19.3,0.03,0.07,1.0
2f557579,Lorenzo Insigne,30,1,32,28,2290,25.4,0.14,0.17,0.95
2f5c78ca,Mikel Jauregizar,19,1,7,1,151,1.7,0.02,0.06,1.0
2f69d881,Josh Doig,21,2,50,41,3527,39.1,0.03,0.05,1.0
2f6ec02a,Kieran Dowell,24,2,42,25,2023,22.4,0.11,0.11,1.03
2f71c116,Maxime Colin,31,3,99,97,8449,93.9,0.02,0.02,0.98
2f7acede,Harry Winks,27,3,84,73,6667,74.1,0.02,0.04,0.98
2f7fec15,Lilian Egloff,20,3,19,3,378,4.2,0.1,0.07,0.99
2f8d27bc,Nathan Ferguson,20,1,1,0,9,0.1,0.0,0.0,1.0
2f90f6b8,James Milner,37,3,70,27,2539,28.2,0.04,0.17,0.98
2f965a72,Alphonse Areola,30,3,37,34,3098,34.4,0.0,0.0,1.0
2f9e4435,Dango Ouattara,21,3,92,52,4830,53.7,0.22,0.14,0.93
2f9ef1a8,Pablo Saenz,22,1,1,0,19,0.2,0.0,0.0,1.0
2fa188f2,Tom Fellows,20,2,37,15,1597,17.700000000000003,0.08,0.11,1.02
2fa2a875,Benjamin Lecomte,32,2,59,59,5309,59.0,0.0,0.01,1.0
2fba6108,Anthony Elanga,21,3,73,44,4073,45.2,0.23,0.24,0.96
2fbe6af0,Iván Romero,21,2,6,2,189,2.1,0.24,0.0,0.99
2ff76adc,Phillipp Mwene,29,3,67,58,5098,56.7,0.04,0.06,1.01
2ff964a0,Aaron Lennon,34,1,28,17,1551,17.2,0.06,0.03,1.02
2ffa6348,Armando Obispo,24,3,48,32,2947,32.800000000000004,0.03,0.01,1.02
30061f53,Dominik Greif,26,3,3,3,270,3.0,0.0,0.0,1.0
300ec91c,Dany Jean,19,1,2,0,13,0.1,0.0,0.24,1.0
3010aefb,Marcus Coco,27,3,78,33,3052,33.9,0.06,0.07,1.01
30144daa,Stephy Mavididi,25,3,102,83,7174,79.7,0.14,0.1,1.03
3015d86e,Mats Köhlert,25,3,97,93,8126,90.3,0.02,0.07,1.03
301c287b,Douglas,26,1,25,22,1772,19.7,0.04,0.04,0.98
30223b33,Antonio Mirante,40,2,3,2,179,2.0,0.0,0.0,1.0
3024e383,José Ángel,31,1,23,12,1083,12.0,0.01,0.1,1.01
302527b2,Philipp Lienhart,27,3,76,73,6633,73.8,0.05,0.03,1.02
302560a0,Daniel Ayala,32,3,53,44,3779,42.0,0.03,0.01,1.02
30261ba1,Nikolas Nartey,22,2,17,9,877,9.8,0.03,0.03,0.99
30297946,Samuele Mulattieri,22,1,27,1,462,5.1,0.23,0.04,0.97
3043d33f,Bersant Celina,25,1,6,3,265,2.9,0.08,0.05,0.99
305a3820,Filip Benković,24,1,2,0,8,0.1,0.55,0.0,1.0
3061e1ec,Andriy Lunin,24,3,30,30,2700,30.0,0.0,0.01,1.0
30670b0e,Arnau Tenas,22,1,6,5,529,5.9,0.0,0.1,1.0
306a0aae,Eduardo Kau,22,1,1,1,90,1.0,0.0,0.0,1.0
307581ff,Ichem Ferrah,17,1,1,0,3,0.0,,,1.0
307ea3b6,Dennis Cirkin,21,2,36,26,2348,26.1,0.05,0.04,1.04
30941e96,Angeliño,26,3,78,70,6056,67.3,0.02,0.15,0.99
3098c0df,Brandon Barker,24,1,4,0,27,0.3,0.14,0.12,1.0
30ae134d,Kevin Behrens,32,3,88,40,3912,43.4,0.26,0.07,1.0
30af8b93,Caio Henrique Oliveira Silva,26,3,78,70,6181,68.7,0.02,0.13,1.02
30bbed87,Issam El Maach,21,1,1,1,90,1.0,0.0,0.0,1.0
30bea884,Mark Beevers,31,1,14,14,1152,12.8,0.01,0.0,0.99
30c220c3,Mitchell Weiser,29,2,60,59,5152,57.3,0.09,0.12,0.98
30c4aa75,Manfred Ugalde,21,3,67,29,2894,32.099999999999994,0.28,0.11,1.0
30d47f6f,Liam Lindsay,27,3,98,95,8470,94.1,0.02,0.0,0.98
30d4a2e5,Vitaliy Mykolenko,24,3,75,70,6179,68.6,0.04,0.04,1.01
30db8574,Mads Bech Sørensen,23,2,26,19,1763,19.6,0.01,0.01,0.99
30e81a88,Rhian Brewster,23,3,43,18,1713,19.0,0.14,0.02,0.97
30f5ffa9,Milan Škriniar,28,3,80,72,6548,72.8,0.03,0.01,0.98
30f90535,Fábio,25,1,9,1,271,3.0,0.39,0.14,0.98
30fb2f9c,Bart van Rooij,22,3,90,89,7915,87.9,0.02,0.05,0.98
311027cb,Leonardo Mancuso,29,1,8,5,425,4.7,0.3,0.04,0.98
313254a3,Kiliann Sildillia,21,3,61,44,3952,44.0,0.03,0.03,0.98
315aa9c5,Britt Assombalonga,29,1,11,1,185,2.1,0.16,0.02,1.02
315eb8f6,Sean McLoughlin,26,3,82,66,6092,67.7,0.01,0.02,0.96
315fe681,Massamba Ndiaye,21,1,4,4,360,4.0,0.0,0.0,1.0
31626657,Laurent Abergel,30,3,96,94,8158,90.6,0.03,0.05,0.98
316a084b,Harrison Burrows,19,1,37,29,2614,29.0,0.05,0.08,1.0
316e70c7,Mamadou Camara,20,1,3,0,40,0.4,0.14,0.0,1.0
31737d6f,Zé Uilton,30,2,62,35,3267,36.3,0.1,0.11,0.97
31822f8c,Folarin Balogun,22,3,86,63,5652,62.8,0.39,0.1,0.91
3189f61a,Nabil Bentaleb,28,3,74,70,5971,66.4,0.03,0.04,1.01
318db7b4,Philippe Rommens,25,3,82,79,6792,75.5,0.04,0.08,1.06
319fa018,Leon Opitz,18,1,3,0,18,0.2,0.0,0.0,1.0
31a1288d,Antonio Cortés,22,1,3,0,52,0.6,0.0,0.11,1.0
31a62dc7,Zeki Çelik,26,3,73,52,4871,54.2,0.02,0.06,1.01
31b252fc,Ilario Monterisi,21,1,24,16,1469,16.3,0.05,0.02,1.02
31c01b85,Jordy Clasie,32,3,91,89,7773,86.4,0.02,0.03,1.05
31c3caea,João Pedro Gomes Camacho,29,1,29,27,2080,23.1,0.16,0.12,1.01
31c691d3,Thomas Rier,21,1,1,0,15,0.2,0.0,0.0,1.0
31c69ef1,Rúben Dias,26,3,85,77,6959,77.3,0.06,0.03,0.94
31d45cc8,Álvaro Lemos,30,1,4,3,251,2.8,0.01,0.0,1.0
31d4ed9d,Robson,22,1,6,1,122,1.4,0.02,0.14,1.0
31f5b89b,Paul Akouokou,25,3,30,13,1297,14.4,0.02,0.0,0.99
3201b03d,Danny Simpson,34,1,3,2,231,2.6,0.0,0.01,1.0
32044ced,Diogo Calila,23,2,41,29,2570,28.5,0.0,0.03,1.0
32100829,Koffi Kouao,25,2,37,31,2749,30.6,0.03,0.11,1.02
321506b3,Brendan Galloway,27,1,26,17,1578,17.5,0.01,0.0,0.99
32163807,Ben Parkinson,18,1,1,0,25,0.3,0.0,0.0,1.0
321a71a7,Maxime Le Marchand,32,2,38,32,2875,32.0,0.02,0.01,1.0
3223d2ec,Nor Maviram,20,1,1,1,28,0.3,0.0,0.0,1.0
3225654e,Arthur Zagre,21,3,47,40,3413,38.0,0.03,0.03,1.0
3233eefd,Phil Jagielka,39,2,67,66,5953,66.1,0.02,0.01,0.98
3239a8ed,Rafa Marín,21,1,33,27,2443,27.1,0.02,0.01,0.99
324ff0da,Jacob Christensen,22,1,7,2,219,2.4,0.01,0.03,1.0
325b3150,Jajá,22,1,12,3,429,4.8,0.06,0.09,0.99
3260690c,Benjamin Šeško,20,1,31,17,1526,17.0,0.34,0.05,1.1
3264a506,Bernardo Vital,22,3,72,69,6197,68.8,0.02,0.01,1.02
326e96ff,Paul Gladon,31,3,40,22,2166,24.0,0.16,0.04,1.01
328ad94f,Fin Back,18,1,3,2,254,2.8,0.0,0.0,1.0
328f7d51,Joe Aribo,27,2,56,29,2830,31.4,0.07,0.05,1.04
3292caee,Jordan Thorniley,25,2,44,38,3311,36.8,0.02,0.03,0.99
32974271,Sergi Guardiola,32,3,85,43,3872,43.0,0.22,0.06,0.98
32c016f8,Afimico Pululu,22,1,8,0,70,0.8,0.02,0.0,1.0
32c0491f,Cristiano Piccini,28,1,6,3,322,3.6,0.03,0.02,1.01
32c2d95f,Yunis Abdelhamid,35,3,102,102,9094,101.0,0.05,0.01,1.0
32dd5ce9,Miliano Jonathans,19,3,19,0,230,2.6,0.2,0.18,0.98
32e2163d,Justin-Noël Kalumba,17,1,7,7,546,6.1,0.01,0.02,1.0
32e7ce92,Loris Karius,30,1,1,1,90,1.0,0.0,0.0,1.0
32e8417f,Stefan Bajcetic,18,2,12,6,552,6.1,0.12,0.06,1.0
32ebfe1e,Andrea Barberis,28,1,9,3,338,3.8,0.02,0.08,1.0
32f3d97e,Abdoul Kader Bamba,29,2,27,2,689,7.7,0.22,0.11,1.0
32f60ed8,Morgan Gibbs-White,23,3,111,104,9181,102.0,0.16,0.23,0.95
3312f911,Jeffrey Schlupp,30,3,95,67,5734,63.7,0.12,0.09,1.01
3318286e,Luís Maximiano,24,3,69,69,6111,67.9,0.0,0.0,1.0
33182cb8,Michael Frey,29,2,24,14,1240,13.7,0.1,0.08,0.98
331c5a98,Mamadou Diakhon,17,2,13,1,230,2.5,0.01,0.07,1.0
3322e296,Antoine Mendy,19,2,21,11,936,10.399999999999999,0.03,0.06,0.99
332f99b0,Luuk Wouters,23,2,24,6,760,8.5,0.01,0.0,1.0
33502726,Mikael,22,1,7,0,87,1.0,0.17,0.0,1.0
335039a2,Pere Milla,29,2,63,38,3487,38.8,0.14,0.05,1.05
33508c78,Cesc Fàbregas,34,1,2,0,38,0.4,0.0,0.39,1.0
3353737a,Sergio Reguilón,26,3,61,42,3755,41.7,0.08,0.19,0.96
335fa267,Sergi Roberto,31,3,46,29,2568,28.5,0.14,0.05,1.06
33651873,Gonçalo Inácio,21,3,93,82,7324,81.4,0.05,0.02,1.02
3376a776,Karim Rekik,27,2,34,26,2279,25.299999999999997,0.04,0.01,1.0
33887998,Edouard Mendy,30,2,44,43,3915,43.5,0.0,0.0,1.0
3392603d,Remko Pasveer,38,2,35,35,3150,35.0,0.0,0.0,1.0
33928d3a,Lewis Travis,25,3,116,100,8931,99.3,0.01,0.04,1.01
3397e7b5,Phillip Tietz,26,1,34,31,2382,26.5,0.23,0.08,1.0
339fe0e8,Thomas Strakosha,28,2,25,24,2205,24.5,0.0,0.0,1.0
33a2d4dc,Adam Reach,30,3,69,29,3093,34.4,0.04,0.08,0.99
33a5c9b8,Ryan Ledson,25,3,92,57,5030,55.8,0.01,0.03,1.0
33a61a52,Carlos Clerc,30,2,51,49,4153,46.1,0.01,0.05,0.99
33a68b9b,Álvaro Carreras,20,2,63,37,3696,41.1,0.04,0.08,0.97
33a6a650,Josip Šutalo,23,1,23,22,1980,22.0,0.03,0.0,0.99
33a81b3d,Tim Handwerker,25,1,2,0,21,0.2,0.0,0.0,1.0
33a95e0a,Jamilu Collins,28,2,40,37,3262,36.300000000000004,0.0,0.02,1.01
33af5b9e,Junior Hoilett,32,2,61,50,4277,47.5,0.04,0.07,0.99
33b38f49,Bambasé Conté,20,1,7,0,48,0.5,0.26,0.05,1.0
33b554b7,Danny Latza,32,1,20,8,853,9.5,0.07,0.02,0.98
33b8d077,Marcelo Brozović,29,2,63,54,4707,52.3,0.07,0.08,1.02
33b9e0e7,Edmilson Mendes,18,1,2,0,16,0.2,0.0,0.0,1.0
33bcd4b3,Yaya Sithole,22,1,25,17,1495,16.6,0.01,0.02,1.0
33bd3dae,Dimitris Pelkas,28,1,26,18,1287,14.3,0.1,0.04,0.99
33d226f8,Anargyros Kampetsis,22,1,17,0,322,3.6,0.14,0.03,0.98
33e2d513,James Husband,28,2,60,52,4665,51.9,0.02,0.03,0.97
33ecf462,Valerio Verre,28,2,37,16,1407,15.600000000000001,0.08,0.09,0.96
33f40a36,Nelson Abbey,18,1,3,0,20,0.2,0.0,0.0,1.0
33fdf90d,Bruno Tabata,24,1,21,2,404,4.5,0.38,0.26,1.01
3409de86,Nicolás Ezequiel Fernández,22,1,18,3,514,5.7,0.05,0.1,0.99
341dc28c,Syb Van Ottele,21,3,49,29,2810,31.2,0.03,0.01,0.99
3423f250,Raphinha,26,3,99,76,6355,70.6,0.29,0.28,0.95
34269bdf,Renato Tapia,28,3,78,44,4200,46.7,0.04,0.04,0.96
34270aeb,Rui Filipe Cunha Correia,26,1,26,13,1208,13.4,0.02,0.07,1.0
343c0d52,Giovanni Simeone,28,3,89,41,3866,43.0,0.26,0.08,1.11
343d80bb,Chanka Zimba,19,1,1,1,45,0.5,0.0,0.0,1.0
343e3125,Jhondly van der Meer,19,1,10,3,426,4.7,0.02,0.02,1.0
343f753a,Luigi Sepe,31,2,33,33,2922,32.5,0.0,0.0,1.0
34693494,Fabio Miretti,19,3,58,34,2658,29.6,0.1,0.07,0.95
346d51d9,Julian Weigl,27,3,85,79,7129,79.1,0.03,0.05,0.99
34721c11,Tawanda Chirewa,19,1,8,1,145,1.6,0.1,0.02,1.0
3476496c,Søren Tengstedt,23,1,14,2,405,4.5,0.09,0.1,0.98
3489184e,Matthias Bader,26,1,24,21,1802,20.0,0.03,0.09,1.01
34903660,Jeremy van Mullem,24,3,42,12,1593,17.7,0.02,0.0,0.99
3493992e,Rúben Tiago Rodrigues Ribeiro,35,1,23,19,1681,18.7,0.08,0.09,0.99
3496ff67,Marc Martínez,33,1,3,3,270,3.0,0.0,0.0,1.0
349cae8f,Michael Amir Murillo,27,1,16,10,997,11.1,0.05,0.08,1.04
349fa918,Robin Roefs,20,1,5,4,420,4.7,0.0,0.0,1.0
34a0f5ff,Javairô Dilrosun,25,3,73,46,4066,45.099999999999994,0.08,0.11,1.03
34a88e3e,Edon Zhegrova,24,3,68,41,3825,42.4,0.19,0.2,1.01
34abb664,Jayden Oosterwolde,20,1,14,10,903,10.0,0.02,0.02,0.99
34b0387f,Lee Jae-sung,30,3,90,67,5443,60.5,0.15,0.1,1.07
34b54da7,Tony Jantschke,33,3,15,4,351,3.9,0.01,0.0,1.0
34caa4b3,Oussama Idrissi,26,2,44,30,2456,27.3,0.1,0.11,1.01
34e12499,Nico Schlotterbeck,23,3,93,91,7896,87.7,0.07,0.05,1.03
34e393f2,Guido Rodríguez,29,3,90,84,7247,80.5,0.03,0.02,1.02
34e39a18,Eric Curbelo,29,1,2,1,102,1.1,0.0,0.0,1.0
34e4343c,Anthony Modeste,34,2,51,38,3419,38.0,0.42,0.08,0.99
34e4dc3b,Gaspar,25,1,27,27,2348,26.1,0.05,0.02,0.99
35141f4c,Marcos Senesi,26,3,94,86,7276,80.9,0.07,0.05,1.03
3515d404,James Ward-Prowse,28,3,112,109,9677,107.5,0.1,0.2,1.14
3521abfe,Carlos Dominguez,22,3,33,22,2036,22.6,0.02,0.01,0.99
352cabbc,Tobias Figueiredo,28,2,48,40,3545,39.400000000000006,0.01,0.01,0.99
35389469,André Geraldes,32,1,16,5,604,6.7,0.01,0.0,1.0
3539472e,Jack Bonham,29,3,52,51,4635,51.5,0.0,0.0,1.0
353eb529,Henrique Araújo,21,3,37,11,1215,13.6,0.25,0.11,0.96
35440884,Manuel Pozo,20,1,1,0,19,0.2,0.37,0.13,1.0
3544641e,Sekou Mara,21,3,76,16,2024,22.6,0.25,0.09,1.0
35516eac,Wilson Odobert,18,2,61,44,3862,42.900000000000006,0.11,0.11,1.03
355c883a,Martin Agirregabiria,27,3,65,32,3225,35.9,0.01,0.04,0.99
35672141,Dida,25,1,5,5,427,4.7,0.0,0.0,1.0
356c9002,Antonio Candreva,36,3,105,100,8595,95.60000000000001,0.09,0.12,1.09
357103bd,Fares Chaïbi,20,2,66,45,4310,47.8,0.12,0.21,0.97
35741fe2,Chris Rigg,16,1,21,8,803,8.9,0.11,0.03,1.0
3594a357,Naïs Djouahra,21,1,7,1,219,2.4,0.08,0.16,0.99
3595affe,Dan Potts,28,2,35,33,2747,30.5,0.04,0.01,0.98
35a2557c,Francesco Di Mariano,25,1,1,1,62,0.7,0.0,0.06,1.0
35a6e5c7,Gabriel Veiga,21,3,44,28,2420,26.9,0.17,0.07,1.08
35b4bc62,Wisdom Amey,15,1,1,1,71,0.8,0.0,0.0,1.0
35be8087,Tony Springett,20,3,14,2,377,4.2,0.03,0.08,0.99
35ccba69,Mimeirhel Benita,19,2,22,9,998,11.1,0.01,0.02,1.0
35d4f151,Rubén,21,2,22,10,1038,11.6,0.04,0.12,0.99
35d64857,Tuta,24,3,87,86,7501,83.4,0.05,0.04,1.02
35dd6d80,Domenico Criscito,34,1,20,18,1618,18.0,0.02,0.05,0.99
35e413f1,Ben White,25,3,107,103,8923,99.1,0.03,0.09,1.04
35f67a30,Fisnik Asllani,19,2,10,0,176,2.0,0.64,0.07,0.97
35f6db55,Léo Baptistão,30,2,60,46,3563,39.599999999999994,0.19,0.06,1.01
360d70f8,Lago Junior,31,2,11,1,229,2.6,0.14,0.0,0.99
361b8b6c,Alex Mowatt,28,3,106,80,7274,80.8,0.03,0.06,1.01
3624ce4c,Víctor Díaz,35,2,26,20,1662,18.5,0.03,0.01,1.0
3626daea,Leonardo Spinazzola,30,3,53,35,3093,34.4,0.03,0.12,1.01
36286814,Alberto Risco,17,1,4,1,137,1.5,0.04,0.16,1.0
3631ad41,Jeremy Ngakia,22,3,44,30,2643,29.4,0.01,0.03,0.99
3649ece2,Niccolò Pierozzi,21,1,12,11,871,9.7,0.02,0.01,1.01
364e2d13,Andrea Sodero,18,1,1,0,5,0.1,0.0,0.0,1.0
364f602a,Ar'jany Martha,19,1,9,8,699,7.8,0.0,0.09,1.0
365113c0,Marc Pubill,20,2,34,27,2395,26.599999999999998,0.03,0.06,0.99
36578017,Yvandro Borges Sanches,19,2,14,1,262,2.9,0.13,0.08,0.99
36625c27,Finley Munroe,18,1,1,0,4,0.0,,,1.0
366be751,Nicolò Fagioli,22,2,34,21,1957,21.799999999999997,0.07,0.08,1.02
3670aa71,Anthony Khelifa,16,1,2,0,10,0.1,0.0,0.0,1.0
3672b352,Javi Martínez,21,1,26,9,879,9.8,0.06,0.04,1.0
3681cfff,Christophe Hérelle,30,3,58,53,4609,51.3,0.01,0.0,0.99
36a3ff67,Marco Reus,34,3,80,61,5457,60.6,0.27,0.19,0.97
36a59ba4,Florian Neuhaus,26,3,77,55,4750,52.8,0.16,0.1,0.96
36a6f28d,Emmanouil Siopis,29,1,42,38,3282,36.5,0.0,0.01,1.0
36b76751,João Carvalho,25,2,36,29,2549,28.3,0.05,0.09,0.99
36bd724a,António Montez,19,1,1,1,90,1.0,0.0,0.0,1.0
