Fbref,Player,Total_npG,Total_npxG,finishing
2f90f6b8,James Milner,0,1.1,0.98
2f965a72,Alphonse Areola,0,0.0,1.0
2f9e4435,Dango Ouattara,9,13.5,0.93
2f9ef1a8,Pablo Saenz,0,0.0,1.0
2fa188f2,Tom Fellows,4,2.6,1.02
2fa2a875,Benjamin Lecomte,0,0.0,1.0
2fba6108,Anthony Elanga,7,9.899999999999999,0.96
2fbe6af0,Iván Romero,0,0.7,0.99
2ff76adc,Phillipp Mwene,4,3.2,1.01
2ff964a0,Aaron Lennon,2,1.1,1.02
2ffa6348,Armando Obispo,3,2.0,1.02
30061f53,Dominik Greif,0,0.0,1.0
300ec91c,Dany Jean,0,0.0,1.0
3010aefb,Marcus Coco,3,2.6,1.01
30144daa,Stephy Mavididi,22,19.4,1.03
3015d86e,Mats Köhlert,6,4.1,1.03
301c287b,Douglas,0,1.2,0.98
30223b33,Antonio Mirante,0,0.0,1.0
3024e383,José Ángel,1,0.2,1.01
302527b2,Philipp Lienhart,7,5.8,1.02
302560a0,Daniel Ayala,3,2.0,1.02
30261ba1,Nikolas Nartey,0,0.3,0.99
30297946,Samuele Mulattieri,0,1.6,0.97
3043d33f,Bersant Celina,0,0.5,0.99
305a3820,Filip Benković,0,0.1,1.0
3061e1ec,Andriy Lunin,0,0.0,1.0
30670b0e,Arnau Tenas,0,0.0,1.0
306a0aae,Eduardo Kau,0,0.0,1.0
307581ff,Ichem Ferrah,0,0.0,1.0
307ea3b6,Dennis Cirkin,5,2.6999999999999997,1.04
30941e96,Angeliño,2,2.5,0.99
3098c0df,Brandon Barker,0,0.1,1.0
30ae134d,Kevin Behrens,15,14.799999999999999,1.0
30af8b93,Caio Henrique Oliveira Silva,3,1.9,1.02
30bbed87,Issam El Maach,0,0.0,1.0
30bea884,Mark Beevers,0,0.3,0.99
30c220c3,Mitchell Weiser,5,6.4,0.98
30c4aa75,Manfred Ugalde,18,18.0,1.0
30d47f6f,Liam Lindsay,3,4.1,0.98
30d4a2e5,Vitaliy Mykolenko,3,2.5,1.01
30db8574,Mads Bech Sørensen,0,0.30000000000000004,0.99
30e81a88,Rhian Brewster,4,5.7,0.97
30f5ffa9,Milan Škriniar,3,4.2,0.98
30f90535,Fábio,0,1.2,0.98
30fb2f9c,Bart van Rooij,2,3.4000000000000004,0.98
311027cb,Leonardo Mancuso,1,1.9,0.98
313254a3,Kiliann Sildillia,0,1.4,0.98
315aa9c5,Britt Assombalonga,2,0.7,1.02
315eb8f6,Sean McLoughlin,0,2.0,0.96
315fe681,Massamba Ndiaye,0,0.0,1.0
31626657,Laurent Abergel,2,3.1,0.98
316a084b,Harrison Burrows,3,2.8,1.0
316e70c7,Mamadou Camara,0,0.1,1.0
31737d6f,Zé Uilton,2,3.9,0.97
31822f8c,Folarin Balogun,25,33.3,0.91
3189f61a,Nabil Bentaleb,3,2.6,1.01
318db7b4,Philippe Rommens,9,5.4,1.06
319fa018,Leon Opitz,0,0.0,1.0
31a1288d,Antonio Cortés,0,0.0,1.0
31a62dc7,Zeki Çelik,2,1.6,1.01
31b252fc,Ilario Monterisi,2,1.1,1.02
31c01b85,Jordy Clasie,6,3.2,1.05
31c3caea,João Pedro Gomes Camacho,4,3.6,1.01
31c691d3,Thomas Rier,0,0.0,1.0
31c69ef1,Rúben Dias,2,5.4,0.94
31d45cc8,Álvaro Lemos,0,0.0,1.0
31d4ed9d,Robson,0,0.0,1.0
31f5b89b,Paul Akouokou,0,0.30000000000000004,0.99
3201b03d,Danny Simpson,0,0.0,1.0
32044ced,Diogo Calila,0,0.2,1.0
32100829,Koffi Kouao,2,1.0,1.02
321506b3,Brendan Galloway,0,0.3,0.99
32163807,Ben Parkinson,0,0.0,1.0
321a71a7,Maxime Le Marchand,1,0.8999999999999999,1.0
3223d2ec,Nor Maviram,0,0.0,1.0
3225654e,Arthur Zagre,2,2.1,1.0
3233eefd,Phil Jagielka,2,2.9,0.98
3239a8ed,Rafa Marín,0,0.7,0.99
324ff0da,Jacob Christensen,0,0.0,1.0
325b3150,Jajá,0,0.3,0.99
3260690c,Benjamin Šeško,14,7.7,1.1
3264a506,Bernardo Vital,2,1.1,1.02
326e96ff,Paul Gladon,8,7.5,1.01
328ad94f,Fin Back,0,0.0,1.0
328f7d51,Joe Aribo,6,3.4,1.04
3292caee,Jordan Thorniley,1,1.5,0.99
32974271,Sergi Guardiola,11,12.5,0.98
32c016f8,Afimico Pululu,0,0.0,1.0
32c0491f,Cristiano Piccini,1,0.2,1.01
32c2d95f,Yunis Abdelhamid,6,6.2,1.0
32dd5ce9,Miliano Jonathans,0,1.1,0.98
32e2163d,Justin-Noël Kalumba,0,0.1,1.0
32e7ce92,Loris Karius,0,0.0,1.0
32e8417f,Stefan Bajcetic,1,0.8,1.0
32ebfe1e,Andrea Barberis,0,0.1,1.0
32f3d97e,Abdoul Kader Bamba,2,2.2,1.0
32f60ed8,Morgan Gibbs-White,18,22.0,0.95
3312f911,Jeffrey Schlupp,9,8.4,1.01
3318286e,Luís Maximiano,0,0.0,1.0
33182cb8,Michael Frey,1,2.2,0.98
331c5a98,Mamadou Diakhon,0,0.0,1.0
3322e296,Antoine Mendy,0,0.4,0.99
332f99b0,Luuk Wouters,0,0.2,1.0
33502726,Mikael,0,0.2,1.0
335039a2,Pere Milla,11,7.9,1.05
33508c78,Cesc Fàbregas,0,0.0,1.0
3353737a,Sergio Reguilón,2,4.2,0.96
335fa267,Sergi Roberto,9,5.6,1.06
33651873,Gonçalo Inácio,6,4.9,1.02
3376a776,Karim Rekik,1,1.0,1.0
33887998,Edouard Mendy,0,0.0,1.0
3392603d,Remko Pasveer,0,0.0,1.0
33928d3a,Lewis Travis,3,2.3,1.01
3397e7b5,Phillip Tietz,8,8.2,1.0
339fe0e8,Thomas Strakosha,0,0.0,1.0
33a2d4dc,Adam Reach,2,2.5,0.99
33a5c9b8,Ryan Ledson,1,1.1,1.0
33a61a52,Carlos Clerc,0,0.7,0.99
33a68b9b,Álvaro Carreras,1,2.6,0.97
33a6a650,Josip Šutalo,1,1.3,0.99
33a81b3d,Tim Handwerker,0,0.0,1.0
33a95e0a,Jamilu Collins,1,0.5,1.01
33af5b9e,Junior Hoilett,4,4.800000000000001,0.99
33b38f49,Bambasé Conté,0,0.2,1.0
33b554b7,Danny Latza,0,0.9,0.98
33b8d077,Marcelo Brozović,5,3.8,1.02
33b9e0e7,Edmilson Mendes,0,0.0,1.0
33bcd4b3,Yaya Sithole,0,0.2,1.0
33bd3dae,Dimitris Pelkas,2,2.8,0.99
33d226f8,Anargyros Kampetsis,0,1.0,0.98
33e2d513,James Husband,1,2.5999999999999996,0.97
33ecf462,Valerio Verre,0,2.0,0.96
33f40a36,Nelson Abbey,0,0.0,1.0
33fdf90d,Bruno Tabata,2,1.7,1.01
3409de86,Nicolás Ezequiel Fernández,0,0.4,0.99
341dc28c,Syb Van Ottele,1,1.6,0.99
3423f250,Raphinha,19,22.9,0.95
34269bdf,Renato Tapia,0,2.5,0.96
34270aeb,Rui Filipe Cunha Correia,0,0.2,1.0
343c0d52,Giovanni Simeone,22,14.3,1.11
343d80bb,Chanka Zimba,0,0.0,1.0
343e3125,Jhondly van der Meer,0,0.2,1.0
343f753a,Luigi Sepe,0,0.0,1.0
34693494,Fabio Miretti,1,3.7,0.95
346d51d9,Julian Weigl,2,2.7,0.99
34721c11,Tawanda Chirewa,0,0.2,1.0
3476496c,Søren Tengstedt,0,0.9,0.98
3489184e,Matthias Bader,1,0.7,1.01
34903660,Jeremy van Mullem,0,0.6,0.99
3493992e,Rúben Tiago Rodrigues Ribeiro,1,1.5,0.99
3496ff67,Marc Martínez,0,0.0,1.0
349cae8f,Michael Amir Murillo,3,0.8,1.04
349fa918,Robin Roefs,0,0.0,1.0
34a0f5ff,Javairô Dilrosun,8,6.3,1.03
34a88e3e,Edon Zhegrova,11,10.3,1.01
34abb664,Jayden Oosterwolde,0,0.4,0.99
34b0387f,Lee Jae-sung,17,12.4,1.07
34b54da7,Tony Jantschke,0,0.1,1.0
34caa4b3,Oussama Idrissi,5,4.7,1.01
34e12499,Nico Schlotterbeck,10,8.2,1.03
34e393f2,Guido Rodríguez,4,2.9,1.02
34e39a18,Eric Curbelo,0,0.0,1.0
34e4343c,Anthony Modeste,21,21.5,0.99
34e4dc3b,Gaspar,1,1.4,0.99
35141f4c,Marcos Senesi,8,6.1,1.03
3515d404,James Ward-Prowse,18,9.3,1.14
3521abfe,Carlos Dominguez,0,0.4,0.99
352cabbc,Tobias Figueiredo,0,0.8,0.99
35389469,André Geraldes,0,0.1,1.0
3539472e,Jack Bonham,0,0.0,1.0
353eb529,Henrique Araújo,3,5.4,0.96
35440884,Manuel Pozo,0,0.1,1.0
3544641e,Sekou Mara,9,8.8,1.0
35516eac,Wilson Odobert,7,5.4,1.03
355c883a,Martin Agirregabiria,0,0.30000000000000004,0.99
35672141,Dida,0,0.0,1.0
356c9002,Antonio Candreva,18,12.0,1.09
357103bd,Fares Chaïbi,7,9.0,0.97
35741fe2,Chris Rigg,2,1.9,1.0
3594a357,Naïs Djouahra,0,0.3,0.99
3595affe,Dan Potts,1,2.2,0.98
35a2557c,Francesco Di Mariano,0,0.0,1.0
35a6e5c7,Gabriel Veiga,11,6.1,1.08
35b4bc62,Wisdom Amey,0,0.0,1.0
35be8087,Tony Springett,0,0.30000000000000004,0.99
35ccba69,Mimeirhel Benita,0,0.2,1.0
35d4f151,Rubén,0,0.5,0.99
35d64857,Tuta,7,5.9,1.02
35dd6d80,Domenico Criscito,0,0.3,0.99
35e25ac0,Ezechiel Fiemawhle,0,0.0,1.0
35e413f1,Ben White,6,3.5,1.04
35f67a30,Fisnik Asllani,0,1.7,0.97
35f6db55,Léo Baptistão,11,10.2,1.01
360d70f8,Lago Junior,0,0.6,0.99
361b8b6c,Alex Mowatt,5,4.6,1.01
3624ce4c,Víctor Díaz,1,0.8,1.0
3626daea,Leonardo Spinazzola,2,1.2,1.01
36286814,Alberto Risco,0,0.1,1.0
3631ad41,Jeremy Ngakia,0,0.6,0.99
3649ece2,Niccolò Pierozzi,1,0.2,1.01
364e2d13,Andrea Sodero,0,0.0,1.0
364f602a,Ar'jany Martha,0,0.1,1.0
365113c0,Marc Pubill,1,1.6,0.99
36578017,Yvandro Borges Sanches,0,0.7,0.99
36625c27,Finley Munroe,0,0.0,1.0
366be751,Nicolò Fagioli,3,1.9,1.02
3670aa71,Anthony Khelifa,0,0.0,1.0
3672b352,Javi Martínez,1,0.8,1.0
3681cfff,Christophe Hérelle,0,0.7,0.99
36a3ff67,Marco Reus,20,22.3,0.97
36a59ba4,Florian Neuhaus,8,10.4,0.96
36a6f28d,Emmanouil Siopis,0,0.2,1.0
36b76751,João Carvalho,1,1.4,0.99
36bd724a,António Montez,0,0.0,1.0
36c2ca73,Alex McCarthy,0,0.0,1.0
36cf2caf,Matej Maglica,1,0.6,1.01
36d320ec,Maikel van der Werff,0,0.6,0.99
36d9dabe,Thomas Ouwejan,0,0.1,1.0
36e88fbc,Luis Binks,0,0.1,1.0
36f65bdf,Rassoul Ndiaye,0,0.2,1.0
3701906c,Pablo Ibáñez,1,3.5999999999999996,0.96
3708655f,Brandon Fleming,0,0.5,0.99
3708e9fa,Aleksandr Golovin,17,11.4,1.08
37118440,Tom Lockyer,5,6.7,0.97
37143438,Edan Diop,1,1.2,1.0
371c77c6,Daleho Irandust,1,2.7,0.97
3724baa1,Fredrik André Bjørkan,0,0.0,1.0
3725b44f,Luc Zogbé,0,0.0,1.0
3727dd3c,Jonjo Shelvey,2,1.1,1.02
3730fcbc,Joe Ralls,3,4.6,0.97
37337aea,Santiago Giménez,36,34.3,1.02
3741ca58,Arda Güler,6,1.4,1.08
3745e8bd,Sebastian Polter,11,10.2,1.01
374d5158,Gonzalo Montiel,1,1.2,1.0
374ee424,Álex Remiro,0,0.0,1.0
374fbf7d,Riad Nouri,1,1.6,0.99
375622c5,Jordan Ferri,2,1.7,1.01
375b59b4,Ogechika Heil,1,0.9,1.0
375ed9d7,Milutin Osmajić,16,13.5,1.04
37673edd,Joca,4,2.8,1.02
37736209,João Escoval,0,0.5,0.99
377c465b,Tom Eaves,10,10.1,1.0
378825c7,Ramy Bensebaini,6,7.5,0.98
379652be,Óscar Melendo,0,0.9,0.98
37998008,Lennart Grill,0,0.0,1.0
379dc075,Shon Weissman,2,3.3,0.98
37b15b11,Hevertton Santos,0,0.9,0.98
37d0048f,André Castro,2,2.5999999999999996,0.99
37d01ca3,Kyosuke Tagawa,7,5.1,1.03
37d04e90,Ilan Kebbal,1,1.4,0.99
37d39918,Dylan Batubinsika,1,2.0,0.98
37db6cae,Unai Gómez,2,1.5,1.01
37dc1a48,Jesper Lindstrøm,12,14.8,0.96
37df21dd,Miro,0,0.1,1.0
37e103f8,Hugo Duro,21,18.7,1.03
37f1cf47,Ander Capa,0,0.0,1.0
37f606f0,Dennis Geiger,3,1.1,1.03
37f827ec,Enzo Roco,1,1.9,0.98
380a15e2,Dimitry Bertaud,0,0.0,1.0
38126309,Aleix Febas,0,0.0,1.0
3814120d,Bingourou Kamara,0,0.0,1.0
3814b753,Gerson Rodrigues,1,3.0,0.97
381d7d54,Bakary Sako,0,0.3,0.99
381dbcfc,David Torres,0,0.5,0.99
3828f130,Javier Guerra,5,3.6,1.02
3829be9f,Niklas Vesterlund,0,0.0,1.0
38466ef3,Ygor Nogueira,1,2.0,0.98
384d58d9,Denis Zakaria,7,4.0,1.05
38699c72,Anthony Lozano,11,11.1,1.0
387d06b2,Fred Onyedinma,5,5.7,0.99
387e1d35,Luke Mbete-Tatu,0,0.0,1.0
38aefb74,Tyrese Campbell,16,17.6,0.98
38b0cf42,Javier Llabrés,1,0.7999999999999999,1.0
38c7feef,Alex Oxlade-Chamberlain,3,2.5,1.01
38cc300d,Freek Heerkens,0,1.6,0.97
38ce1150,Jorge de Frutos,6,7.5,0.98
38ceb24a,Leandro Trossard,27,20.0,1.09
38d9ce53,Janis Antiste,2,1.5999999999999999,1.01
38df681f,Connor Mahoney,0,0.1,1.0
38f300f3,Daniel Ballard,4,8.1,0.94
38f8ce7f,Raz Meir,0,0.1,1.0
3902e91b,Gonzalo Melero,9,6.9,1.03
39072483,Callum O'Hare,11,16.9,0.92
390a580b,Dan McNamara,2,3.3,0.98
3916b09c,Quentin Bernard,0,0.0,1.0
3925dbd6,Aleksandar Mitrović,47,38.9,1.09
3925ee80,Tijs Velthuis,0,1.0,0.98
39352da2,Arnau Puigmal,1,1.1,1.0
3935e52e,Sead Kolašinac,5,5.3999999999999995,0.99
393f7c58,Matouš Trmal,0,0.0,1.0
3942a90b,Sai van Wermeskerken,1,0.8999999999999999,1.0
3943a06f,Lukas Jutkiewicz,9,11.4,0.96
3945ac70,Alessandro Russo,0,0.0,1.0
394854c4,George Baldock,2,1.7,1.01
394be156,Ousmane Diomande,3,2.6,1.01
39583cfd,Gerard Deulofeu,14,11.2,1.04
395bbb60,Stefan Schimmer,0,0.6,0.99
3963c25b,Yann Aurel Bisseck,2,0.9,1.02
3975195f,Thierno Balde,0,0.3,0.99
39769cff,Rasmus Kristensen,4,1.3,1.05
397ba086,Grejohn Kyei,7,13.0,0.91
3984a078,Wellington Nem,0,0.0,1.0
3986000d,Marc Bola,1,1.6,0.99
398690a7,Ben Jackson,2,0.7,1.02
398a2f3d,Lee Gregory,1,1.0,1.0
39944392,Sammie Szmodics,38,32.5,1.06
399e9474,Amari'i Bell,2,3.3,0.98
39aa05a7,Ebenezer Annan,0,0.0,1.0
39ad0b72,Callum Connolly,3,5.7,0.96
39b326ed,Gabriel Suazo,0,0.7999999999999999,0.99
39d8474f,Jonathan Buatu Mananga,1,0.4,1.01
39e1138f,Quilindschy Hartman,2,1.7999999999999998,1.0
3a089320,Magnus Mattsson,17,17.0,1.0
3a0fbf82,Saïd Bakari,1,3.9000000000000004,0.95
3a18abe2,Juan Herzog,2,0.7,1.02
3a233281,Leon Bailey,15,13.1,1.03
3a24769f,Ross Barkley,10,9.399999999999999,1.01
3a27f1bf,Callum Marshall,0,0.1,1.0
3a58af58,Mohamed Oukhattou,0,0.0,1.0
3a58d075,Koba Koindredi,0,0.3,0.99
3a639671,Robin Polley,0,0.0,1.0
3a7d547a,Mirko Topić,0,1.1,0.98
3a949a25,Martin Dúbravka,0,0.0,1.0
3a9c4b7b,Nacho Vidal,1,3.1,0.96
3aa4a3be,Loren Morón,1,0.7,1.01
3aa74860,Hugo Sotelo,0,0.3,0.99
3ac4ee49,Matheus Aiás,2,1.9,1.0
3aca6420,Tajon Buchanan,1,0.2,1.01
3ace4e2d,Paulo Vitor,1,0.7,1.01
3ad34015,Ebenezer Akinsanmiro,0,0.0,1.0
3ae14ed1,Trézéguet,0,0.0,1.0
3af2c762,Ítalo,0,0.3,0.99
3b029691,Vitinha,11,9.3,1.03
3b12b11f,Alessandro Zanoli,2,2.9000000000000004,0.98
3b1ed320,Angelo Stiller,4,3.1000000000000005,1.02
3b216df2,Nikolai Baden Frederiksen,9,6.300000000000001,1.04
3b333ac3,Hans Hateboer,1,3.0,0.97
3b387cc7,Gianluca Gaetano,5,2.2,1.05
3b3cbebb,Yacine Qasmi,0,0.0,1.0
3b570c74,Dener,1,1.1,1.0
3b61c9ec,Luca Pellegrini,1,1.2,1.0
3b676989,Adam Buksa,0,0.0,1.0
3b69e95f,Nermin Zolotić,1,0.8999999999999999,1.0
3b6ace25,Hugo Boutsingkham,0,0.0,1.0
3b8674e6,Rodrigo Bentancur,6,5.6,1.01
3b87c918,Matheus Costa,5,2.8,1.04
3b88609d,Cher Ndour,1,0.3,1.01
3b8b641c,Jordan Rhodes,7,10.0,0.95
3b9858f5,Marios Oikonomou,0,0.3,0.99
3ba95f20,Tomáš Ostrák,0,0.0,1.0
3bb5b5d2,Jordy de Wijs,0,0.9,0.98
3bb625ac,Edimilson Fernandes,0,1.3,0.98
3bb7af3b,Riccardo Saponara,7,5.1,1.03
3bb7b8b4,Ederson,0,0.0,1.0
3bb7f478,Edin Džeko,22,24.5,0.97
3bd47c13,Jevon Mills,0,0.0,1.0
3bd65247,Eliesse Ben Seghir,6,2.7,1.06
3befc2b6,Andrei Girotto,7,4.6,1.04
3c13cd5d,Jordan Shipley,1,1.9,0.98
3c151571,Marcus Müller,0,0.1,1.0
3c16d927,Alejandro Pozo Pozo,0,0.9,0.98
3c19867d,Alexandre Guedes,0,1.8,0.97
3c200e05,Joshua Quarshie,0,0.0,1.0
3c285843,Lazar Rosić,0,1.3,0.98
3c33f9d9,Przemysław Płacheta,1,2.8000000000000003,0.97
3c3bd200,Dirk Abels,1,1.1,1.0
3c569f37,Justin Che,0,0.1,1.0
3c6089ab,Thomas Müller,20,25.1,0.94
3c6bbbab,Fabien Centonze,4,1.4,1.05
3ca6106c,Augusto Solari,0,0.6,0.99
3ca7254a,Pedro,14,9.6,1.07
3cb132e6,Jacopo Segre,0,0.0,1.0
3cc4bb19,Fali Candé,1,1.5,0.99
3cd2101a,Hélder Morim,1,0.7999999999999999,1.0
3cd3b384,Tommaso Augello,4,1.9,1.04
3cd63173,Aaron Meijers,0,0.4,0.99
3cd7820a,Lucas Gourna-Douath,1,1.3,0.99
3cd9e95a,Timo Horn,0,0.0,1.0
3cdfc63e,Miha Blažič,2,1.6,1.01
3ce20eda,David Carmo,0,1.8,0.97
3ce6c74d,Harry Vaughan,0,0.30000000000000004,0.99
3cedae52,Daniel Karlsbakk,1,1.8,0.99
3cefa66a,Leroy Fer,0,0.0,1.0
3cefcaef,Ferland Mendy,2,1.5,1.01
3d09b8ae,Noah Mawene,0,0.1,1.0
3d13d9e4,Erik Botheim,1,0.7,1.01
3d1f1458,Miguel Puche García,0,0.3,0.99
3d214e5f,Marco Bizot,0,0.0,1.0
3d2e8955,Koki Ogawa,9,5.6,1.06
3d50bcdb,Moise Kean,11,13.3,0.97
3d554589,Hjalmar Ekdal,1,0.6,1.01
3d688b46,Yan Brice Eteki,0,0.2,1.0
3d6cee81,Flavio Paoletti,0,0.0,1.0
3d738df0,Josué Albert,0,0.0,1.0
3d79a68c,Francisco Perez,1,1.1,1.0
3d7e48ce,Iván Alejo,2,3.0999999999999996,0.98
3d7f0ce3,Casper Widell,1,1.0,1.0
3d99999d,Olasagasti,0,0.9,0.98
3dbdbb6a,Mathias Honsak,1,1.8,0.99
3dcef539,Tariqe Fosu,1,3.5,0.96
3dd738a1,Ruben Aguilar,1,1.9,0.98
3df50652,Jack Walton,0,0.0,1.0
3e02d0f9,Sven Mijnans,14,14.1,1.0
3e04dfad,Sonny Finch,0,0.0,1.0
3e092724,Wylan Cyprien,2,0.8,1.02
3e17193f,Ole Romeny,12,9.9,1.03
3e38b72f,Corry Evans,0,0.6,0.99
3e42f707,David García,6,2.9,1.05
3e4f735d,Vitorino Antunes,1,2.4,0.98
3e587547,Diogo Figueiras,0,0.7,0.99
3e5a168c,Carlos Isaac,0,0.0,1.0
3e5e4e63,Steve Cook,2,2.4,0.99
3e5f2323,Tomás Castro,0,0.0,1.0
3e707ad4,Brau,0,0.0,1.0
3e80e04e,Lyle Taylor,5,5.0,1.0
3e8c6e2c,Savio,0,0.0,1.0
3e93f8cf,Íñigo Eguaras,1,1.0,1.0
3e96f3e7,Francisco Montero,1,0.8,1.0
3e9e06cb,Craig Dawson,4,6.0,0.97
3ea1862e,Miguel Maga,0,1.3,0.98
3ea50f67,Harvey Barnes,24,18.1,1.08
3ead85f9,Alessio Romagnoli,3,2.6,1.01
3eaf8817,Lebo Mothiba,7,7.0,1.0
3eb0f2df,Vladimír Darida,2,1.9,1.0
3eb22ec9,Bernardo Silva,18,12.600000000000001,1.08
3ec33276,Ronald,4,5.8,0.97
3ec3c1c9,Lucas Martínez Quarta,7,6.4,1.01
3ec9195b,Darnell Furlong,7,11.7,0.93
3ec9f005,Ismael Saibari,5,7.7,0.96
3ecc11d8,Yeray Álvarez,1,1.6,0.99
3ecc8c5f,Mateusz Wieteska,1,2.5,0.97
3ece036c,Kacper Kozłowski,5,6.7,0.97
3ed84b2c,Bobby Adekanye,6,6.6,0.99
3ee0dd59,Martín Zubimendi,7,6.800000000000001,1.0
3eeb80e0,Fredrik Jensen,4,2.9,1.02
3eed9821,Samuel Umtiti,0,0.8,0.99
3eeda7dd,Gavin Kilkenny,0,0.3,0.99
3eeebc87,Tiago Santos,1,2.0999999999999996,0.98
3ef0a2d7,Aleksa Terzić,1,0.4,1.01
3ef0fa48,Gelson Martins,4,6.5,0.96
3ef965c1,Flavio Junior Bianchi,1,0.8,1.0
3effaa34,André Silva,14,22.4,0.89
3f034750,Ivo Grbić,0,0.0,1.0
3f10bd22,Jesús Navas,0,0.8,0.99
3f29b3ba,Daniel Peretz,0,0.0,1.0
3f2d59fe,Shkodran Mustafi,1,0.1,1.02
3f30f12a,Aslak Witry,1,0.4,1.01
3f319bb9,Rasmus Nicolaisen,2,2.3,0.99
3f332394,André Vidigal,15,15.7,0.99
3f3a2cba,Moustapha Mbow,0,0.0,1.0
3f47ebce,Marcos Leonardo,7,4.7,1.04
3f5f38fb,Nicolò Casale,1,2.2,0.98
3f651f34,Abdoullah Ba,4,4.8,0.99
3f65d5ce,Ethan Horvath,0,0.0,1.0
3f6c3ae0,Tjark Ernst,0,0.0,1.0
3f70db80,Kristoffer Klaesson,0,0.0,1.0
3f75e889,Ivo Gonçalves,0,0.0,1.0
3f79a1c8,Gonzalo Escalante,10,8.8,1.02
3f7bafbe,Alejo Véliz,1,0.4,1.01
3f7e5a98,Jeppe Corfitzen,0,0.0,1.0
3f847d95,Joseph Whitworth,0,0.0,1.0
3fa733bc,Million Manhoef,18,12.9,1.08
3faa1780,Lukas Rupp,0,0.7,0.99
3fc45c73,Iñigo Martínez,4,3.2,1.01
3fe6bd8c,Paul Dummett,0,0.0,1.0
40221fa7,Bradley Locko,1,0.7,1.01
40302e12,George Evans,1,0.9,1.0
403f5d20,Olivier Boscagli,8,4.3,1.06
40406a00,Andrew,0,0.0,1.0
4047c976,Aboubakar Kamara,0,0.0,1.0
40580929,Mark Sykes,10,9.3,1.01
405f267a,Salvi,2,2.6,0.99
405f6586,Milan Đurić,13,11.1,1.03
4066ff66,Mathias Kjølø,1,1.2000000000000002,1.0
40774c6b,Bamba Dieng,13,15.899999999999999,0.96
407db0d5,Mads Bidstrup,0,0.0,1.0
407feb71,Brahim Díaz,17,15.8,1.02
40883e3a,Enric Franquesa,0,0.1,1.0
408ba138,Nils Rossen,0,0.0,1.0
4090b0e9,Jovan Malcolm,0,0.0,1.0
40920f01,Peter Kioso,0,1.2000000000000002,0.98
409ccdb7,Oliver Braude,0,0.2,1.0
40b58bfc,Janni Serra,3,3.2,1.0
40d103f8,Ryan Andrews,3,2.1,1.02
40d2f0cb,Brian De Keersmaecker,2,1.0,1.02
40ef7347,Rafael Ratão,5,5.1,1.0
40f85b8f,Hayden Carter,1,1.9,0.98
41017ad5,Luke Garbutt,0,0.8999999999999999,0.98
41034650,Jurriën Timber,5,7.2,0.96
4112ace5,Unai Vencedor Paris,0,1.4,0.98
4115ce4e,Jan Bednarek,6,4.800000000000001,1.02
4117e3f3,Warner Hahn,0,0.0,1.0
411fabd7,Orbelín Pineda,0,0.5,0.99
4125cb98,Jarell Quansah,2,1.0,1.02
414184f7,Jhon Durán,5,2.6,1.04
4142f132,Paulo Bernardo,2,3.0,0.98
414e1f69,Marley Aké,0,0.0,1.0
416e078e,Scott Wharton,5,3.2,1.03
41723204,Karol Świderski,2,1.7,1.01
41a1a2c8,Martin Angha,0,0.8,0.99
41b3069f,Fernando Calero,0,0.8999999999999999,0.98
41bd99ea,Simone Scuffet,0,0.0,1.0
41bff4fa,Márton Dárdai,1,0.2,1.01
41c12f75,Mathías Olivera,4,3.2,1.01
41cc19c2,Connor Wickham,1,1.1,1.0
41d84fed,Licá,0,0.2,1.0
41df88b8,Saulo Decarli,0,0.0,1.0
41e7ef1c,Layvin Kurzawa,0,0.0,1.0
41eebdf5,Samuel Gigot,5,5.0,1.0
41f08ac8,Keane Lewis-Potter,15,19.0,0.95
41f0b196,Anatolii Trubin,0,0.0,1.0
41f32541,Fernando,1,1.2,1.0
41fb0f4e,Domingos Quina,2,2.5,0.99
41ff002d,Bruno Jordão,1,1.6,0.99
420c18a1,Yann Sommer,0,0.0,1.0
420d7c7d,Luke Ayling,5,5.9,0.99
42130443,Zack Steffen,0,0.0,1.0
421370f5,Django Warmerdam,1,1.6,0.99
42276181,Kévin Gameiro,21,19.3,1.02
422862ea,Nathaniel Chalobah,0,2.0,0.96
422ee5c7,Isaiah Jones,12,15.1,0.96
423daf87,Kosuke Nakamura,0,0.0,1.0
4242011c,Bernardo Espinosa,1,1.2,1.0
4242a0a1,Anderson,1,1.5,0.99
424595d5,Michael Verrips,0,0.0,1.0
4288f249,Sotiris Alexandropoulos,0,0.2,1.0
4295f19c,Leandro Sanca,2,3.0,0.98
42995526,André Clóvis,1,1.9,0.98
429f107b,Ethan Hamilton,0,0.0,1.0
42a028c5,Álvaro Bastida,0,0.0,1.0
42a833ab,Sebastián Pérez Cardona,3,2.5,1.01
42d4be51,Harvey Cartwright,0,0.0,1.0
42dcf26d,Álvaro González,0,0.2,1.0
42e1ea60,Lazaros Lamprou,10,11.2,0.98
42eaa028,Jonathan Ikone,9,12.5,0.95
42f0113f,Stredair Appuah,0,0.5,0.99
42f4f848,Declan Rudd,0,0.0,1.0
42fd9c7f,Kylian Mbappé,71,57.4,1.12
42fdb11d,Frank Magri,5,3.1,1.03
43156df9,Mickaël Tirpan,0,1.2,0.98
4315f30d,Malang Sarr,0,0.0,1.0
431c837b,Klaus Gjasula,0,0.5,0.99
43309491,Nathan Broadhead,18,11.6,1.1
433dc9a2,Juan Bernat,1,1.0,1.0
